"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Count","Nsites","Density (gm/cc)","Volume","Has Bandstructure","Crystal System",""
"mp-770620","Li4VNi3O8","R3m","-1.751","0.083","0.000","","16","4.423","143.711","true","trigonal",""
"mp-781051","Li5V2Ni3O10","P1","-1.958","0.095","0.307","","20","4.348","180.513","true","triclinic",""
"mp-771667","LiV2NiO6","C2/c","-2.076","0.098","0.000","","20","3.519","248.662","true","monoclinic",""
"mp-776323","Li2V5NiO12","C2","-2.247","0.105","0.770","","20","3.546","243.168","true","monoclinic",""
"mp-777318","Li3V2NiO6","C2/m","-2.189","0.109","0.000","","12","4.195","109.795","true","monoclinic",""
"mp-775091","Li5V5(NiO6)2","C2","-2.197","0.113","1.354","","24","4.396","226.202","true","monoclinic",""
"mp-851083","Li5V3(NiO5)2","P1","-2.107","0.132","0.000","","20","4.106","188.032","true","triclinic",""
"mp-19219","Li3VO4","Pmn21","-2.514","0","4.034","85","16","2.536","177.781","true","orthorhombic",""
"mp-19340","LiVO2","R3m","-2.485","0","1.786","","4","3.926","38.02","true","trigonal",""
"mp-19440","LiVO3","C2/c","-2.44","0","2.822","","20","2.394","293.783","true","monoclinic",""
"mp-777667","LiV2O5","Pnma","-2.465","0","1.628","","32","3.184","393.874","true","orthorhombic",""
"mp-583094","Li3VO4","Pnma","-2.512","0.003","3.939","","32","2.468","365.392","true","orthorhombic",""
"mp-540700","LiV3O8","P21/m","-2.358","0.003","1.885","","24","3.334","286.632","false","monoclinic",""
"mp-766239","Li7V5O12","P1","-2.482","0.013","0.770","","24","3.695","222.611","false","triclinic",""
"mp-761629","Li17V16O32","Cm","-2.446","0.014","0.645","","65","3.911","613.48","true","monoclinic",""
"mp-767856","Li5V12O32","Cm","-2.373","0.015","0.000","","49","3.368","570.961","true","monoclinic",""
"mp-774192","Li2VO3","P1","-2.485","0.02","1.696","","12","3.46","108.296","true","triclinic",""
"mp-19373","LiVO3","C2/c","-2.42","0.02","3.034","","20","2.823","249.136","true","monoclinic",""
"mp-776871","Li2V5O12","Pbcn","-2.448","0.02","0.477","","76","2.876","1063.662","false","orthorhombic",""
"mp-868657","Li2VO3","C2/m","-2.482","0.022","1.750","","12","3.455","108.449","true","monoclinic",""
"mp-771608","Li3V6O16","Pm","-2.392","0.022","0.000","","25","3.355","288.307","true","monoclinic",""
"mp-19408","LiV2O5","Pnma","-2.441","0.024","1.153","","32","3.181","394.267","true","orthorhombic",""
"mp-698647","LiVO2","P222","-2.461","0.025","0.081","","32","4.01","297.75","true","orthorhombic",""
"mp-775331","LiVO2","Imma","-2.46","0.026","0.669","","8","3.948","75.617","true","orthorhombic",""
"mp-776204","LiV3O4","Cmmm","-2.272","0.026","0.000","","8","4.638","80.115","true","orthorhombic",""
"mp-776036","LiV6O15","P21/c","-2.341","0.026","0.643","","88","3.327","1103.255","false","monoclinic",""
"mp-777033","Li9V19O48","P1","-2.423","0.027","1.240","","76","3.31","902.14","false","triclinic",""
"mp-773356","Li8VO6","P1","-2.217","0.027","1.783","","15","2.649","126.903","true","triclinic",""
"mp-777032","Li3V5O12","P21/c","-2.471","0.028","1.555","","80","3.003","1034.143","false","monoclinic",""
"mp-776654","Li7V5O12","C2","-2.467","0.028","1.155","","24","3.77","218.168","true","monoclinic",""
"mp-771530","LiV3O8","Pm","-2.332","0.029","1.768","","24","3.295","290.007","true","monoclinic",""
"mp-776037","LiV4O10","P1","-2.366","0.03","0.402","","90","3.266","1130.977","false","triclinic",""
"mp-764746","Li5V7O12","C2","-2.392","0.031","0.219","","24","4.264","227.126","true","monoclinic",""
"mp-762252","Li4V7O12","P21","-2.432","0.032","0.919","","46","4.228","452.772","true","monoclinic",""
"mp-764772","LiVO2","P1","-2.453","0.033","1.249","","20","3.926","190.068","true","triclinic",""
"mp-19394","LiV2O4","Fd3m","-2.487","0.035","0.000","","14","3.902","147.099","true","cubic",""
"mp-762453","Li11V16O32","P1","-2.479","0.036","0.952","","59","3.795","614.045","true","triclinic",""
"mp-775075","LiV3O8","Pm","-2.325","0.037","1.841","","24","3.14","304.34","true","monoclinic",""
"mp-765490","LiV24O58","P1","-2.316","0.039","0.098","","83","3.386","1057.946","false","triclinic",""
"mp-774369","Li3V12O29","Cm","-2.385","0.039","0.000","","44","3.434","529.96","true","monoclinic",""
"mp-775458","LiV18O44","Pm","-2.308","0.041","0.000","","63","3.36","804.468","false","monoclinic",""
"mp-773325","Li2V3O8","P212121","-2.413","0.042","1.630","","52","3.369","580.99","true","orthorhombic",""
"mp-762292","Li4V5O10","P1","-2.461","0.043","1.263","","19","3.866","190.069","true","triclinic",""
"mp-773362","Li2V6O15","C2/m","-2.377","0.043","0.070","","23","3.356","276.836","true","monoclinic",""
"mp-773728","Li5V18O44","Pm","-2.379","0.043","0.242","","67","3.423","803.18","false","monoclinic",""
"mp-771611","Li5V4O8","R3m","-2.342","0.046","0.881","","17","3.869","157.295","true","trigonal",""
"mp-764771","Li6V5O12","P1","-2.465","0.046","0.677","","23","3.735","217.1","true","triclinic",""
"mp-765419","Li6V5O12","P1","-2.464","0.047","0.696","","46","3.635","446.13","true","triclinic",""
"mp-768084","Li8V11O22","P1","-2.464","0.047","0.812","","41","3.85","417.414","true","triclinic",""
"mp-762971","Li2V3O6","C2/m","-2.47","0.048","1.110","","11","3.811","114.452","true","monoclinic",""
"mp-767268","LiV9O22","P21/m","-2.321","0.048","0.077","","64","3.4","798.361","false","monoclinic",""
