No.,compound,valence,RA(pm)Ⅻ,RB(pm)Ⅵ,RA/RB,polA,polB,polA-polB,negA,negB,negB-negA,NegA(Bau),NegB(Bau),Neg(B-A),ZA,ZB,RA(ai),RB(ai),ZA/RA,ZB/RB,(ZA/RA)/(ZB/RB),(ZA/RA)+(ZB/RB),Y,C
66,"Pb(Li1/4,Ho1/4,W1/2) O3",2 1 3 6,163.00,85.53,1.91,2.00,0.34,1.66,1.24,1.63,0.39,1.60,1.56,-0.04,8.10,4.09,1.63,0.86,4.97,4.78,1.04,9.75,F,1
67,"Pb(Li1/4,Gd1/4,W1/2) O3",2 1 3 6,163.00,86.45,1.89,2.00,0.36,1.64,1.24,1.62,0.38,1.60,1.56,-0.04,8.10,4.16,1.63,0.86,4.97,4.81,1.03,9.78,F,1
68,"Pb(Li1/4,Pr1/4,W1/2) O3",2 1 3 6,163.00,87.75,1.86,2.00,0.39,1.61,1.24,1.62,0.38,1.60,1.54,-0.06,8.10,3.99,1.63,0.88,4.97,4.54,1.09,9.51,F,1
69,"Pb(Li1/4,La1/4,W1/2) O3",2 1 3 6,163.00,88.80,1.84,2.00,0.41,1.59,1.24,1.60,0.36,1.60,1.54,-0.06,8.10,4.08,1.63,0.89,4.97,4.59,1.08,9.56,F,1
70,"Pb(Li1/4,Sm1/4,W1/2) O3",2 1 3 6,163.00,86.95,1.87,2.00,0.37,1.63,1.24,1.62,0.38,1.60,1.56,-0.04,8.10,4.03,1.63,0.87,4.97,4.63,1.07,9.60,F,1
71,"Pb(Na1/4,Y1/4,W1/2) O3",2 1 3 6,163.00,92.00,1.77,2.00,0.32,1.68,1.24,1.61,0.37,1.60,1.53,-0.08,8.10,4.16,1.63,0.92,4.97,4.52,1.10,9.49,F,1
72,"Pb(Na1/4,Ho1/4,W1/2) O3",2 1 3 6,163.00,92.03,1.77,2.00,0.37,1.63,1.24,1.64,0.39,1.60,1.55,-0.05,8.10,4.21,1.63,0.92,4.97,4.58,1.09,9.55,F,1
73,"Pb(Li1/3,Zr1/6,W1/2) O3",2 1 4 6,163.00,81.00,2.01,2.00,0.21,1.79,1.24,1.63,0.39,1.60,1.57,-0.03,8.10,3.97,1.63,0.81,4.97,4.90,1.01,9.87,F,1
74,"Pb(Cd4/9,Nb2/9,W1/3) O3",2 2 5 6,163.00,90.44,1.80,2.00,0.64,1.36,1.24,1.69,0.45,1.60,1.80,0.20,8.10,5.51,1.63,0.90,4.97,6.09,0.82,11.06,F,1
75,"Pb(Sc5/9,Nb1/9,W1/3) O3",2 3 3 6  ,163.00,83.39,1.95,2.00,0.28,1.72,1.24,1.64,0.40,1.60,1.58,-0.02,8.10,4.02,1.63,0.83,4.97,4.82,1.03,9.79,F,1
76,"Pb(Sc1/4,Cr1/4,Nb1/2) O3",2 3 3 5,163.00,78.00,2.09,2.00,0.30,1.70,1.24,1.63,0.39,1.60,1.58,-0.02,8.10,3.45,1.63,0.78,4.97,4.42,1.12,9.39,F,1
77,"Pb(Mg1/4,Mn1/4,W1/2) O3",2 2 2 6,163.00,75.25,2.17,2.00,0.30,1.70,1.24,1.72,0.48,1.60,1.65,0.05,8.10,4.56,1.63,0.75,4.97,6.06,0.82,11.03,F,1
78,"Pb(Cd1/4,Mn1/4,W1/2) O3",2 2 2 6,163.00,81.00,2.01,2.00,0.54,1.46,1.24,1.75,0.51,1.60,1.78,0.18,8.10,5.44,1.63,0.81,4.97,6.71,0.74,11.68,F,1
79,"Pb(Co1/4,Mn1/4,W1/2) O3",2 2 2 6,163.00,72.50,2.25,2.00,0.39,1.62,1.24,1.79,0.55,1.60,1.78,0.18,8.10,5.00,1.63,0.73,4.97,6.90,0.72,11.87,F,1
80,"Pb(Ni1/4,Mn1/4,W1/2) O3",2 2 2 6,163.00,74.50,2.19,2.00,0.37,1.63,1.24,1.80,0.56,1.60,1.80,0.20,8.10,5.06,1.63,0.75,4.97,6.80,0.73,11.76,F,1
81,"Pb(Ni1/4,Mn1/4,Nb1/2) O3",2 2 4 5,163.00,76.50,2.13,2.00,0.29,1.71,1.24,1.75,0.51,1.60,1.83,0.23,8.10,4.06,1.63,0.77,4.97,5.31,0.94,10.28,F,1
82,"Pb(Co1/4,Mn1/4,Nb1/2) O3",2 2 4 5,163.00,74.50,2.19,2.00,0.30,1.70,1.24,1.74,0.50,1.60,1.80,0.20,8.10,4.00,1.63,0.75,4.97,5.37,0.93,10.34,F,1
83,"Pb(Mg1/4,Mn1/4,Nb1/2) O3",2 2 4 5,163.00,77.25,2.11,2.00,0.21,1.79,1.24,1.68,0.43,1.60,1.68,0.07,8.10,3.56,1.63,0.77,4.97,4.61,1.08,9.58,F,1
84,"Pb(Zn1/4,Mn1/4,Nb1/2) O3",2 2 4 5,163.00,77.75,2.10,2.00,0.26,1.74,1.24,1.73,0.49,1.60,1.78,0.18,8.10,4.19,1.63,0.78,4.97,5.39,0.92,10.36,F,1
85,"Pb(Li1/3,Nb1/3,W1/3) O3",2 1 5 6,163.00,80.67,2.02,2.00,0.19,1.81,1.24,1.62,0.37,1.60,1.55,-0.05,8.10,3.63,1.63,0.81,4.97,4.50,1.10,9.47,F,1
86,"Pb(Mg1/4,Mn1/4,Ta1/2) O3",2 2 4 5,163.00,77.25,2.11,2.00,0.26,1.74,1.24,1.73,0.49,1.60,1.68,0.07,8.10,4.31,1.63,0.77,4.97,5.58,0.89,10.55,F,1
87,"Pb(Ni1/4,Mn1/4,Ta1/2) O3",2 2 4 5,163.00,76.50,2.13,2.00,0.33,1.67,1.24,1.80,0.56,1.60,1.83,0.23,8.10,4.81,1.63,0.77,4.97,6.29,0.79,11.26,F,1
88,"Pb(Na1/4,Sc1/4,W1/2) O3",2 1 3 6,163.00,88.13,1.85,2.00,0.26,1.74,1.24,1.63,0.39,1.60,1.55,-0.05,8.10,4.14,1.63,0.88,4.97,4.70,1.06,9.66,F,1
89,"Pb(Na1/4,Dy1/4,W1/2) O3",2 1 3 6,163.00,92.30,1.77,2.00,0.38,1.62,1.24,1.63,0.39,1.60,1.55,-0.05,8.10,4.20,1.63,0.92,4.97,4.55,1.09,9.52,F,1
90,"Pb(Fe1/2,Mn1/4,W1/4) O3",2 3 4 6,163.00,74.50,2.19,2.00,0.30,1.70,1.24,1.86,0.62,1.60,1.93,0.33,8.10,4.64,1.63,0.75,4.97,6.22,0.80,11.19,F,1
91,"Sr(Fe,Ta)1/2 O3",2 3 5,158.00,78.25,2.02,0.86,0.35,0.51,1.00,1.78,0.78,1.00,1.75,0.75,2.90,4.75,1.58,0.78,1.84,6.07,0.30,7.91,F,1
92,"Pb(Li1/4,Ni1/4,W1/2) O3",2 1 3 6,163.00,80.25,2.03,2.00,0.19,1.81,1.24,1.75,0.51,1.60,1.69,0.09,8.10,4.45,1.63,0.80,4.97,5.55,0.90,10.51,F,1
93,"Pb(Ni1/2,Ti1/4,W1/4) O3",2 3 4 6,163.00,78.63,2.07,2.00,0.21,1.79,1.24,1.82,0.58,1.60,1.80,0.20,8.10,4.70,1.63,0.79,4.97,5.98,0.83,10.95,F,1
94,"Pb(Mn,Nb)1/2 O3",2 3 5,163.00,82.25,1.98,2.00,0.30,1.71,1.24,1.64,0.39,1.60,1.60,0.00,8.10,3.88,1.63,0.82,4.97,4.71,1.05,9.68,F,1
95,"Pb(Sc2/3,Te1/3) O3",2 3 6,163.00,82.33,1.98,2.00,0.28,1.72,1.24,1.52,0.28,1.60,1.57,-0.03,8.10,5.10,1.63,0.82,4.97,6.19,0.80,11.16,F,1
96,"Ba(Mg,Te)1/2 O3",2 2 6,175.00,78.00,2.24,1.55,0.18,1.37,1.01,1.57,0.57,0.90,1.65,0.75,2.90,5.95,1.75,0.78,1.66,7.63,0.22,9.29,F,1
97,"Pb(Fe2/3,Te1/3) O3",2 3 6,163.00,75.67,2.15,2.00,0.31,1.69,1.24,1.77,0.53,1.60,1.90,0.30,8.10,5.93,1.63,0.76,4.97,7.84,0.63,12.81,F,1
98,"(Sr,La)1/2(Cu,Nb)1/2 O3",2 3 2 5,154.00,82.50,1.87,0.95,0.28,0.67,1.11,1.64,0.54,1.10,1.85,0.75,3.15,4.15,1.54,0.83,2.05,5.03,0.41,7.08,F,1
99,"(Sr,La)1/2(Cu,Sb)1/2 O3",2 3 2 5,154.00,80.50,1.91,0.95,0.33,0.62,1.11,1.64,0.53,1.10,2.05,0.95,3.15,6.45,1.54,0.81,2.05,8.01,0.26,10.06,F,1
100,"Ba(Cu,U)1/2 O3",2 2 6,175.00,87.00,2.01,1.55,0.40,1.15,1.01,1.71,0.70,0.90,1.95,1.05,2.90,4.15,1.75,0.87,1.66,4.77,0.35,6.43,F,1
101,"(Sr,La)1/2(Cu,Ta)1/2 O3",2 3 2 5,154.00,82.50,1.87,0.95,0.33,0.62,1.11,1.70,0.59,1.10,1.36,0.26,3.15,4.90,1.54,0.83,2.05,5.94,0.34,7.98,F,1
102,"Sr(Co,Re)1/2 O3",2 2 6,158.00,78.75,2.01,0.86,0.37,0.49,1.00,1.84,0.84,1.00,1.90,0.90,2.90,5.38,1.58,0.79,1.84,6.83,0.27,8.66,F,1
103,"Sr(Ni,Re)1/2 O3",2 2 6,158.00,76.00,2.08,0.86,0.34,0.52,1.00,1.86,0.86,1.00,1.95,0.95,2.90,5.50,1.58,0.76,1.84,7.24,0.25,9.07,F,1
104,"Ba(Fe,Re)1/2 O3",2 2 6,175.00,80.50,2.17,1.55,0.38,1.17,1.01,1.83,0.82,0.90,1.90,1.00,2.90,5.25,1.75,0.81,1.66,6.52,0.25,8.18,F,1
